INS_BEFORE_WPNAV_US,INS_AFTER_WPNAV_US,INS_UPDATED_DURING_WPNAV,STATE_AGE_AT_WPNAV_US,WPNAV_ELAPSED_WALL_US,SIM_TIME_US,WALL_TIME_US,CONTROL_DT_SIM_US,CONTROL_DT_WALL_US,CONTROL_OVERRUN_SIM_US,CONTROL_OVERRUN_WALL_US,INS_UPDATE_US,INS_DT_US,PRODUCER_SIM_US,PRODUCER_WALL_US,AGE_SIM_US,AGE_WALL_US,NAV_INDEX,WP_DISTANCE_CM,REF_VEL_N,SIM_VEL_N,REF_VEL_E,SIM_VEL_E
94203970,94203970,0,0,3,94203970,7558437870,2499,91,0,0,94203970,2499,0,0,0,0,3,5717,104.611,77.591,279.573,350.327
94206469,94206469,0,0,4,94206469,7558437970,2499,100,0,0,94206469,2499,0,0,0,0,3,5716,104.781,77.756,279.134,349.989
94208968,94208968,0,0,3,94208968,7558438068,2499,98,0,0,94208968,2499,0,0,0,0,3,5716,104.966,77.823,278.846,349.754
94211467,94211467,0,0,4,94211467,7558438421,2499,353,0,0,94211467,2499,0,0,0,0,3,5716,105.138,77.960,278.435,349.435
94213966,94213966,0,0,3,94213966,7558438518,2499,97,0,0,94213966,2499,0,0,0,0,3,5716,105.323,78.064,278.146,349.195
94216465,94216465,0,0,4,94216465,7558438618,2499,100,0,0,94216465,2499,0,0,0,0,3,5716,105.494,78.252,277.708,348.902
94218964,94218964,0,0,3,94218964,7558438720,2499,102,0,0,94218964,2499,0,0,0,0,3,5715,105.680,78.367,277.418,348.616
94221463,94221463,0,0,3,94221463,7558438822,2499,102,0,0,94221463,2499,0,0,0,0,3,5715,105.853,78.532,277.007,348.251
94223962,94223962,0,0,3,94223962,7558438915,2499,93,0,0,94223962,2499,0,0,0,0,3,5715,106.040,78.634,276.717,348.027
94226461,94226461,0,0,5,94226461,7558439188,2499,273,0,0,94226461,2499,0,0,0,0,3,5715,106.211,78.790,276.278,347.653
94228960,94228960,0,0,13,94228960,7558470928,2499,31740,0,29240,94228960,2499,0,0,0,0,3,5715,106.398,78.882,275.988,347.397
94231459,94231459,0,0,5,94231459,7558471192,2499,264,0,0,94231459,2499,0,0,0,0,3,5714,106.572,79.006,275.575,347.009
94233958,94233958,0,0,4,94233958,7558471302,2499,110,0,0,94233958,2499,0,0,0,0,3,5714,106.760,79.111,275.285,346.765
94236457,94236457,0,0,6,94236457,7558471453,2499,151,0,0,94236457,2499,0,0,0,0,3,5714,106.932,79.229,274.845,346.439
94238956,94238956,0,0,4,94238956,7558471592,2499,139,0,0,94238956,2499,0,0,0,0,3,5714,107.120,79.338,274.554,346.214
94241455,94241455,0,0,4,94241455,7558471704,2499,112,0,0,94241455,2499,0,0,0,0,3,5714,107.295,79.546,274.141,345.836
94243954,94243954,0,0,4,94243954,7558471801,2499,97,0,0,94243954,2499,0,0,0,0,3,5713,107.484,79.653,273.849,345.594
94246453,94246453,0,0,4,94246453,7558471911,2499,110,0,0,94246453,2499,0,0,0,0,3,5713,107.657,79.827,273.410,345.300
94248952,94248952,0,0,3,94248952,7558472017,2499,106,0,0,94248952,2499,0,0,0,0,3,5713,107.846,79.926,273.118,345.034
94251451,94251451,0,0,6,94251451,7558472298,2499,281,0,0,94251451,2499,0,0,0,0,3,5713,108.022,80.072,272.703,344.640
